,sna,tot,sbi,sarea,mday,ar,bemp,act
133,YouBike2.0_大安運動中心,27,1,大安區,2023-05-28 13:56:04,辛亥路三段55號前方人行道(大安運動中心),25,1
135,YouBike2.0_基隆長興路口,43,0,大安區,2023-05-28 12:38:04,基隆路/長興街(東南側),43,1
136,YouBike2.0_仁愛路四段122巷口,16,2,大安區,2023-05-28 13:50:23,仁愛路四段118號前,14,1
137,YouBike2.0_市民敦化路口,15,1,大安區,2023-05-28 13:43:15,敦化南路一段111號前,14,1
140,YouBike2.0_和平新生路口西南側,13,4,大安區,2023-05-28 13:58:15,新生南路三段2號前,9,1
142,YouBike2.0_信義路三段134巷口,19,2,大安區,2023-05-28 13:55:25,信義路三段/信義路三段134巷口,17,1
144,YouBike2.0_臺北遠企購物中心,33,4,大安區,2023-05-28 13:53:16,敦化南路二段201號前,28,1
145,YouBike2.0_外交部外交及國際事務學院,17,3,大安區,2023-05-28 13:59:15,敦化南路一段280號,14,1
148,YouBike2.0_捷運臺電大樓站(2號出口)_1,31,0,大安區,2023-05-28 13:59:04,羅斯福路三段201號旁,30,1
149,YouBike2.0_信義路四段199巷,15,3,大安區,2023-05-28 13:56:15,信義路四段199巷/安和路一段90巷口,12,1
151,YouBike2.0_敦化南路二段81巷,40,2,大安區,2023-05-28 13:46:16,敦化南路二段與敦化南路二段81巷口西北側,37,1
153,YouBike2.0_捷運國父紀念館站(1號出口),25,2,大安區,2023-05-28 13:57:15,光復南路200巷26號東側,21,1
156,YouBike2.0_立人國小,17,3,大安區,2023-05-28 13:53:16,安和路二段/敦化南路二段81巷(西南側),14,1
159,YouBike2.0_臨江公園,13,0,大安區,2023-05-28 13:51:04,通化街143巷33號對側,12,1
160,YouBike2.0_羅斯福路四段113巷19弄口,14,1,大安區,2023-05-28 13:51:04,羅斯福路四段119巷84號對側,12,1
164,YouBike2.0_羅斯福浦城街口,15,0,大安區,2023-05-28 13:27:04,羅斯福路三段117號前,15,1
165,YouBike2.0_延平國宅,30,1,大同區,2023-05-28 13:56:04,延平北路五段1-1號(對面),29,1
166,YouBike2.0_臺北市立圖書館大同分館,20,3,大同區,2023-05-28 13:42:15,重慶北路三段318號旁,17,1
168,YouBike2.0_民族延平路口,23,2,大同區,2023-05-28 13:56:15,延平北路三段123號北側,21,1
170,YouBike2.0_樹德公園,14,0,大同區,2023-05-28 13:38:04,大龍街85巷12號對側,13,1
171,YouBike2.0_陳天來故居,18,4,大同區,2023-05-28 13:47:15,西寧北路112號前方,14,1
172,YouBike2.0_臺北孔廟,27,3,大同區,2023-05-28 13:51:16,哈密街61號口對側人行道,24,1
174,YouBike2.0_酒泉延平路口,26,4,大同區,2023-05-28 13:31:15,酒泉街235號前,22,1
175,YouBike2.0_重慶國中,37,3,大同區,2023-05-28 13:56:15,敦煌路19號前,34,1
176,YouBike2.0_重慶北路三段383巷口,25,4,大同區,2023-05-28 13:30:42,敦煌路與重慶北路三段383巷口,21,1
177,YouBike2.0_台北數位產業園區,24,4,大同區,2023-05-28 13:57:15,承德路三段287號前方,20,1
178,YouBike2.0_民權延平路口(西北側),20,0,大同區,2023-05-28 13:38:04,民權西路239號前方,19,1
179,YouBike2.0_民權迪化街口,23,1,大同區,2023-05-28 13:11:16,民權西路與迪化街一段口(橋墩下),22,1
181,YouBike2.0_大龍老人住宅,14,3,大同區,2023-05-28 12:26:14,民族西路82號前方,11,1
182,YouBike2.0_大龍峒社會住宅,20,0,大同區,2023-05-28 13:48:04,承德路三段210號旁,20,1
184,YouBike2.0_捷運大橋頭站(1A出口),18,0,大同區,2023-05-28 13:32:04,民權西路237號旁,16,1
187,YouBike2.0_捷運北門站(3號出口),62,3,大同區,2023-05-28 13:58:15,塔城街與鄭州路口西南側,59,1
188,YouBike2.0_朝陽公園,10,3,大同區,2023-05-28 13:59:15,重慶北路二段62-1號旁,5,1
190,YouBike2.0_大龍公園,18,1,大同區,2023-05-28 13:53:16,大龍街217號對側,17,1
192,YouBike2.0_圓山線形公園,14,0,大同區,2023-05-28 13:59:15,玉門街/民族西路(西北側),14,1
195,YouBike2.0_承德路三段8巷口,16,1,大同區,2023-05-28 13:57:04,承德路三段14號前,15,1
197,YouBike2.0_國順公園,20,3,大同區,2023-05-28 13:53:16,昌吉街117號前,17,1
198,YouBike2.0_聯合醫院中興院區,27,2,大同區,2023-05-28 13:58:15,長安西路299號(對面),25,1
199,YouBike2.0_蔣渭水紀念公園,24,1,大同區,2023-05-28 13:59:15,錦西街/興城街口(西南側),22,1
200,YouBike2.0_迪化休閒運動公園,15,1,大同區,2023-05-28 13:58:15,延平北路四段200號(南側),14,1
206,YouBike2.0_承德民權路口,17,3,大同區,2023-05-28 13:44:15,承德路二段239號前,14,1
207,YouBike2.0_南京太原路口,18,1,大同區,2023-05-28 13:54:04,南京西路/太原路(東側),17,1
208,YouBike2.0_承德民生西路口,11,1,大同區,2023-05-28 13:49:04,承德路二段137號前,10,1
210,YouBike2.0_臺北轉運站(華陰街),20,1,大同區,2023-05-28 13:59:15,華陰街45號(對面),18,1
213,YouBike2.0_重慶長安路口,15,2,大同區,2023-05-28 13:59:15,長安西路244號(重慶路側),13,1
214,YouBike2.0_承德昌吉街口,18,0,大同區,2023-05-28 13:56:04,承德路三段83號前,17,1
215,YouBike2.0_大同16號廣場,14,1,大同區,2023-05-28 13:30:42,環河北路一段/民生西路口(東南側),12,1
217,YouBike2.0_樹德公園_1,21,0,大同區,2023-05-28 13:49:04,大龍街/大龍街85巷(東北側),21,1
218,YouBike2.0_承德鄭州路口(市民高架下),38,4,大同區,2023-05-28 13:58:15,承德路一段/鄭州路口(市民高架下),32,1
219,YouBike2.0_成淵高中,14,1,大同區,2023-05-28 13:59:04,錦西街與錦西街52巷口東北側,13,1
220,YouBike2.0_雙蓮國小,20,2,大同區,2023-05-28 13:53:16,民權西路102巷4弄25號對側人行道,17,1
221,YouBike2.0_寧夏涼州街口,15,0,大同區,2023-05-28 13:35:04,寧夏路141號對側,14,1
223,YouBike2.0_劍潭抽水站,17,3,士林區,2023-05-28 13:59:15,通河東街325巷/通河東街口,10,1
226,YouBike2.0_百齡國小,50,1,士林區,2023-05-28 13:54:04,前港街104號(對面),49,1
227,YouBike2.0_雨聲街165巷口,15,2,士林區,2023-05-28 13:17:26,雨聲街/雨聲街165巷(西北側),13,1
228,YouBike2.0_天和公園,13,1,士林區,2023-05-28 13:55:25,天母東路69巷30號(前方路側),12,1
234,YouBike2.0_天母北天玉街口,15,2,士林區,2023-05-28 13:55:25,天母北路33號(前),13,1
239,YouBike2.0_雨農國小,35,3,士林區,2023-05-28 13:58:15,忠誠路一段127號(前),30,1
245,YouBike2.0_華齡街185巷口,12,3,士林區,2023-05-28 13:50:23,華齡街188號(前),8,1
247,YouBike2.0_百齡高中,15,1,士林區,2023-05-28 13:35:04,承德路四段179巷/承德路4段口,14,1
249,YouBike2.0_臺灣戲曲中心,14,1,士林區,2023-05-28 13:58:15,文林路751號(南側),12,1
252,YouBike2.0_志成公園,23,0,士林區,2023-05-28 13:30:31,中正路/雨農路口(西北側),22,1
253,YouBike2.0_福林國小,14,2,士林區,2023-05-28 13:48:15,福志路50號(對面),11,1
259,YouBike2.0_華聲公園,27,0,士林區,2023-02-03 10:09:04,華聲街17號(南側路側),27,0
262,YouBike2.0_銘傳大學,30,0,士林區,2023-05-17 23:56:05,中山北路五段250號(銘傳大學對側),29,0
264,YouBike2.0_蘭雅公園,32,4,士林區,2023-05-28 13:59:15,忠誠路二段/忠誠路二段40巷(西南側),27,1
265,YouBike2.0_聯合醫院陽明院區,15,1,士林區,2023-05-28 13:51:16,雨聲街105號(南側),13,1
267,YouBike2.0_至誠公園,15,1,士林區,2023-05-28 13:17:26,至誠路一段80號(對面),14,1
270,YouBike2.0_梅林新村,15,4,士林區,2023-05-28 12:21:16,至善路一段/至善路一段138巷(北側),11,1
274,YouBike2.0_葫蘆國小,20,4,士林區,2023-05-28 13:05:16,環河北路三段/葫蘆街(東北側),16,1
277,YouBike2.0_社子國小,15,3,士林區,2023-05-28 13:47:15,社中街476號(對面),12,1
279,YouBike2.0_忠誠路一段138號,15,1,士林區,2023-05-28 13:40:24,忠誠路一段138號(斜前方),13,1
282,YouBike2.0_泰北高中,16,3,士林區,2023-05-28 13:44:15,福林路240號(前),13,1
283,YouBike2.0_後港公園,15,4,士林區,2023-05-28 13:21:15,通河東街二段26號(旁公園),11,1
289,YouBike2.0_福安國中,11,3,士林區,2023-05-28 13:40:24,延平北路七段250號(前),8,1
291,YouBike2.0_聖山綠地,15,0,士林區,2023-05-28 13:59:04,忠義街94號(旁),15,1
294,YouBike2.0_蘭雅國小,27,2,士林區,2023-05-28 13:58:15,礦溪街與中山北路六段195巷口,24,1
299,YouBike2.0_東山路110巷口,16,0,士林區,2023-05-28 13:34:04,東山路114號對側,14,1
301,YouBike2.0_雨農橋,16,3,士林區,2023-05-28 13:39:15,福志路14巷42號(對面),13,1
302,YouBike2.0_通河街76巷/承德路四段10巷口,14,3,士林區,2023-05-28 13:49:15,承德路四段10巷37號(旁),10,1
303,YouBike2.0_芝山聖佑宮,15,0,士林區,2023-05-28 13:39:04,雨聲街90號旁,13,1
304,YouBike2.0_至誠雨聲街口,9,0,士林區,2023-05-28 13:59:04,至誠路二段與雨聲街口東北側,8,1
307,YouBike2.0_基河文林路口,16,0,士林區,2023-05-28 13:52:04,基河路3-1號對側人行道,16,1
312,YouBike2.0_德行東山路口,12,2,士林區,2023-05-28 13:50:23,德行東路/東山路(西北側),9,1
314,YouBike2.0_葫蘆國小(延平北路五段285巷),15,0,士林區,2023-05-28 09:01:04,環河北路三段/延平北路五段285巷,15,1
316,YouBike2.0_士林區農會社子分部,8,4,士林區,2023-05-28 13:45:15,社子街162號旁,4,1
318,YouBike2.0_文林路101巷口,7,2,士林區,2023-05-28 13:56:16,文林路100號前,5,1
321,YouBike2.0_啟明學校,16,4,士林區,2023-05-28 13:54:17,忠誠路二段200號(新光三越天母店)對側,11,1
322,YouBike2.0_中山福國路口,14,3,士林區,2023-05-28 13:35:14,中山北路五段837號前,9,1
324,YouBike2.0_承德後港街口,11,1,士林區,2023-05-28 13:51:04,承德路四段/後港街口,9,1
325,YouBike2.0_中山北路五段698巷口,15,0,士林區,2023-05-28 13:30:31,中山北路五段692號前,14,1
328,YouBike2.0_銘傳大學(中山北路五段280巷口),23,2,士林區,2023-05-28 13:55:25,中山北路五段280巷口,21,1
329,YouBike2.0_海光公園南側,12,4,士林區,2023-05-28 13:30:42,葫蘆街79號對側公園,8,1
330,YouBike2.0_士商路40巷口,15,0,士林區,2023-05-28 13:17:17,士商路40巷2號旁,15,1
335,YouBike2.0_天母東路8巷/忠誠路二段154巷口,14,3,士林區,2023-05-28 13:19:14,天母東路8巷57號對側,11,1
336,YouBike2.0_美崙公園(東北側),15,3,士林區,2023-05-28 13:28:14,文林路587巷115號對側,12,1
342,YouBike2.0_景仁公園,16,2,文山區,2023-05-28 13:57:15,羅斯福路六段142巷1號(旁),14,1
347,YouBike2.0_興福國中,25,3,文山區,2023-05-28 13:40:24,福興路95巷/福興路63巷4弄口,21,1
348,YouBike2.0_興隆路2段203巷,32,4,文山區,2023-05-28 13:56:16,興隆路2段203巷108號(對面),28,1
349,YouBike2.0_景美運動公園,11,2,文山區,2023-05-28 13:59:15,景豐街79號(旁公園),8,1
356,YouBike2.0_捷運木柵站,31,2,文山區,2023-05-28 13:59:15,木柵路四段82巷18號前(捷運橋樑下),29,1
358,YouBike2.0_文山運動中心,20,2,文山區,2023-05-28 13:55:25,興隆路三段/興隆路三段192巷8弄,18,1
359,YouBike2.0_捷運辛亥站,29,3,文山區,2023-05-28 13:48:15,辛亥路四段114號(旁人行道),25,1
361,YouBike2.0_木柵光輝路口,19,3,文山區,2023-05-28 13:52:16,木柵路一段290號(旁),16,1
362,YouBike2.0_考試院,22,1,文山區,2023-05-28 13:59:15,試院路(雙號)/木柵路一段(東北側),19,1
372,YouBike2.0_木柵公園,25,4,文山區,2023-05-28 13:52:16,興隆路四段50號(前),21,1
373,YouBike2.0_興隆公共住宅D2區,19,2,文山區,2023-05-28 13:32:14,興隆路四段105巷49號(旁),17,1
375,YouBike2.0_樟腳里公園,15,4,文山區,2023-05-28 13:49:15,木新路二段299巷15號(旁),11,1
378,YouBike2.0_萊茵公園,14,3,文山區,2023-05-28 13:55:25,忠順街二段87巷25弄29號,11,1
379,YouBike2.0_木柵社會住宅,12,2,文山區,2023-05-28 13:46:16,久康街24巷46號對側,10,1
381,YouBike2.0_秀明路一段129巷口,22,0,文山區,2023-05-28 12:03:04,秀明路一段129巷與秀明路一段路口,22,1
384,YouBike2.0_捷運萬芳醫院站(興隆路三段115巷),20,4,文山區,2023-05-28 13:17:26,興隆路三段115巷2號,16,1
385,YouBike2.0_興得閱覽室,24,0,文山區,2023-05-28 13:54:04,興隆路三段304巷145號,21,1
387,YouBike2.0_博嘉運動公園,12,3,文山區,2023-05-28 12:25:15,木柵路四段159巷16號,9,1
388,YouBike2.0_國立政治大學(萬壽路),56,2,文山區,2023-05-28 13:56:16,萬壽路16巷6號(前),52,1
393,YouBike2.0_海巡署(南側),10,2,文山區,2023-05-28 11:59:14,興隆路三段211號對側(公車亭後),8,1
394,YouBike2.0_明道國小東南側,18,0,文山區,2023-05-28 11:50:09,興隆路四段109巷116號對側,18,1
395,YouBike2.0_木南公園,12,0,文山區,2023-05-28 13:57:04,木新路二段永安街22巷口,12,1
396,YouBike2.0_實踐國中(木新路三段310巷口),17,4,文山區,2023-05-28 13:14:14,忠順街一段木新路三段310巷口,10,1
399,YouBike2.0_政大水岸電梯,10,3,文山區,2023-05-28 13:34:15,政治大學水岸電梯旁,7,1
400,YouBike2.0_敦南山林,14,3,文山區,2023-05-28 11:21:15,木柵路四段159巷16弄(社區出入口對側),11,1
401,YouBike2.0_辛亥路五段73巷口,13,0,文山區,2023-05-28 13:21:04,辛亥路五段75-1號前人行道,13,1
402,YouBike2.0_景美污水抽水站,15,4,文山區,2023-05-28 13:56:16,汀州路四段10號北側人行道,11,1
407,YouBike2.0_景行公園,15,4,文山區,2023-05-28 13:59:15,景中街與景中街30巷口,10,1
408,YouBike2.0_萬興國小,16,2,文山區,2023-05-28 13:43:15,秀明路二段114號公車亭旁,14,1
409,YouBike2.0_辛亥路四段77巷口,14,0,文山區,2023-05-28 12:53:04,辛亥路四段77巷口,14,1
410,YouBike2.0_景興路42巷口,12,4,文山區,2023-05-28 13:52:16,景興路42巷與景興路口西南側,8,1
412,YouBike2.0_木柵路二段109巷,15,4,文山區,2023-05-28 12:51:15,木柵路二段109巷14號旁,11,1
414,YouBike2.0_萬美萬安街口,16,0,文山區,2023-05-28 13:56:04,萬美街一段/萬安街口,16,1
415,YouBike2.0_興隆路二段203巷(敦南),27,1,文山區,2023-05-28 13:13:15,興隆路二段203巷16號,25,1
416,YouBike2.0_新光秀明路口,15,3,文山區,2023-05-28 13:55:25,新光路一段145號前,12,1
418,YouBike2.0_汀州思源街口東南側,20,1,中正區,2023-05-28 13:48:15,汀州路三段思源街口東南側,19,1
419,YouBike2.0_捷運公館站(1號出口),12,1,中正區,2023-05-28 13:59:04,羅斯福路四段68號,11,1
420,YouBike2.0_捷運公館站(4號出口),12,3,中正區,2023-05-28 13:56:16,羅斯福路四段48號,9,1
423,YouBike2.0_捷運臺電大樓站(1號出口),34,2,中正區,2023-05-28 13:59:15,辛亥路一段/羅斯福路三段南側,30,1
425,YouBike2.0_河堤國小,27,3,中正區,2023-05-28 13:50:23,汀洲路二段182巷內186號旁,24,1
427,YouBike2.0_捷運臺電大樓站(5號出口),14,1,中正區,2023-05-28 13:59:04,羅斯福路三段126號前,13,1
428,YouBike2.0_捷運臺電大樓站(4號出口),13,0,中正區,2023-05-28 13:49:04,師大路/羅斯福路三段西側,13,1
432,YouBike2.0_捷運古亭站(7號出口),12,1,中正區,2023-05-28 13:49:15,羅斯福路二段44號前方,10,1
442,YouBike2.0_古亭智慧圖書館,14,0,中正區,2023-05-28 13:50:12,中華路二段443巷45號前,14,1
443,YouBike2.0_永昌公園,15,2,中正區,2023-05-28 13:56:16,詔安街224號前,11,1
446,YouBike2.0_南海和平路口西南側,19,0,中正區,2023-05-28 13:23:04,南海路與和平西路二段西南側,19,1
457,YouBike2.0_中正運動中心,30,2,中正區,2023-05-28 13:59:15,信義路一段1號前,27,1
464,YouBike2.0_法務部,27,3,中正區,2023-05-28 13:59:15,重慶南路一段130號旁,24,1
474,YouBike2.0_師大水源路口,21,0,中正區,2023-05-28 13:32:04,師大路/水源路口(東南側),21,1
475,YouBike2.0_中山徐州路口,16,4,中正區,2023-05-28 13:54:17,中山南路/徐州路(東南側),10,1
478,YouBike2.0_莒光大埔街口,32,4,中正區,2023-05-28 13:51:16,莒光路/大埔街口(東北側),27,1
479,YouBike2.0_捷運忠孝新生站(2號出口),32,0,中正區,2023-05-28 13:59:15,忠孝東路二段132號(東側),30,1
485,YouBike2.0_金山信義路口,25,4,中正區,2023-05-28 13:59:15,金山南路一段148號前側,20,1
487,YouBike2.0_徐州杭州路口,19,4,中正區,2023-05-28 13:43:15,徐州路/杭州南路一段口(西北側),15,1
489,YouBike2.0_捷運臺北車站(M2出口),20,1,中正區,2023-05-28 13:54:04,市民大道一段168號旁,18,1
492,YouBike2.0_弘道國中,18,0,中正區,2023-05-28 13:30:31,公園路21號西北側,17,1
493,YouBike2.0_臺北市第一女子高級中學,17,4,中正區,2023-05-28 12:49:13,重慶南路一段165號旁,12,1
494,YouBike2.0_台北市替代役中心,15,4,中正區,2023-05-28 13:54:17,汀州路三段8號前,11,1
500,YouBike2.0_仁愛金山路口,9,0,中正區,2023-05-28 13:39:04,仁愛路二段31號前,9,1
501,YouBike2.0_杭州南路一段101巷口,14,0,中正區,2023-05-28 13:37:04,金山南路一段72號前,14,1
502,YouBike2.0_仁愛杭州路口,15,3,中正區,2023-05-28 13:57:15,仁愛路一段59號旁,10,1
503,YouBike2.0_龍興里活動中心,21,4,中正區,2023-05-28 13:52:16,三元街131號旁,17,1
504,YouBike2.0_植物園,22,0,中正區,2023-05-28 13:47:04,和平西路二段100號前,21,1
508,YouBike2.0_天津北平路口,15,1,中正區,2023-05-28 13:30:31,天津街1號對側人行道,14,1
510,YouBike2.0_捷運忠孝新生站(5號出口),13,3,中正區,2023-05-28 13:59:15,新生南路一段56號前方,10,1
511,YouBike2.0_捷運臺大醫院站(1號出口),19,1,中正區,2023-05-28 13:34:15,公園路/常德街口(西側),17,1
513,YouBike2.0_林森濟南路口(東北側),15,3,中正區,2023-05-28 13:59:15,林森南路/濟南路一段口(東北側),11,1
515,YouBike2.0_中華南海路口,15,2,中正區,2023-05-28 13:52:16,中華路二段343號前,13,1
518,YouBike2.0_國家音樂廳,22,2,中正區,2023-05-28 13:55:25,信義路一段(國家音樂廳西北側),20,1
520,YouBike2.0_濟南路二段8巷口,15,2,中正區,2023-05-28 13:48:04,濟南路二段6-1號對側,13,1
521,YouBike2.0_仁愛金山路口(東南側),14,4,中正區,2023-05-28 13:58:15,仁愛路二段48-4號前,10,1
522,YouBike2.0_臺灣文學基地,15,1,中正區,2023-05-28 13:52:16,齊東街53巷10號,14,1
524,YouBike2.0_文光公園,17,4,中正區,2023-05-28 13:58:15,仁愛路二段65巷4號對側,13,1
526,YouBike2.0_螢圃里小公園,19,3,中正區,2023-05-28 13:48:15,汀州路二段135號對側,15,1
